Number 1 to 100000
3030 and 14140 are FRIENDLY
3036 and 59202 are FRIENDLY
3052 and 54064 are FRIENDLY
3054 and 14252 are FRIENDLY
3084 and 60138 are FRIENDLY
3090 and 14420 are FRIENDLY
3102 and 14476 are FRIENDLY
3105 and 18837 are FRIENDLY
3108 and 9990 are FRIENDLY
3108 and 55056 are FRIENDLY
3108 and 60606 are FRIENDLY
3120 and 7800 are FRIENDLY
3126 and 14588 are FRIENDLY
3138 and 14644 are FRIENDLY
3156 and 61542 are FRIENDLY
3160 and 17696 are FRIENDLY
3162 and 14756 are FRIENDLY
3164 and 56048 are FRIENDLY
3174 and 14812 are FRIENDLY
3180 and 62010 are FRIENDLY
3198 and 14924 are FRIENDLY
3210 and 14980 are FRIENDLY
3220 and 57040 are FRIENDLY
3228 and 62946 are FRIENDLY
3240 and 18144 are FRIENDLY
3246 and 15148 are FRIENDLY
3252 and 63414 are FRIENDLY
3270 and 15260 are FRIENDLY
3276 and 58032 are FRIENDLY
3280 and 8200 are FRIENDLY
3282 and 15316 are FRIENDLY
3300 and 64350 are FRIENDLY
3306 and 15428 are FRIENDLY
3320 and 18592 are FRIENDLY
3324 and 64818 are FRIENDLY
3342 and 15596 are FRIENDLY
3354 and 15652 are FRIENDLY
3372 and 65754 are FRIENDLY
3375 and 6975 are FRIENDLY
3378 and 15764 are FRIENDLY
3388 and 60016 are FRIENDLY
3390 and 15820 are FRIENDLY
3396 and 66222 are FRIENDLY
3414 and 15932 are FRIENDLY
3426 and 15988 are FRIENDLY
3440 and 8600 are FRIENDLY
3444 and 11070 are FRIENDLY
3444 and 61008 are FRIENDLY
3444 and 67158 are FRIENDLY
3450 and 16100 are FRIENDLY
3462 and 16156 are FRIENDLY
3468 and 67626 are FRIENDLY
3472 and 56896 are FRIENDLY
3480 and 19488 are FRIENDLY
3498 and 16324 are FRIENDLY
3500 and 62000 are FRIENDLY
3510 and 19344 are FRIENDLY
3516 and 68562 are FRIENDLY
